nominal,data,curs (manat),curs(USA)
1,2022-12-31,41.3750,70.3375
1,2022-12-30,42.3399,71.9778
1,2022-12-29,41.9565,71.3261
1,2022-12-28,41.1380,69.9346
1,2022-12-27,40.2639,68.4487
1,2022-12-24,40.3976,68.6760
1,2022-12-23,42.4298,72.1306
1,2022-12-22,41.4856,70.5256
1,2022-12-21,40.5904,69.0037
1,2022-12-20,39.0279,66.3474
1,2022-12-17,38.0046,64.6078
1,2022-12-16,37.8244,64.3015
1,2022-12-15,37.2700,63.3590
1,2022-12-14,37.1835,63.2120
1,2022-12-13,36.9220,62.7674
1,2022-12-10,36.6949,62.3813
1,2022-12-09,36.8072,62.5722
1,2022-12-08,37.0219,62.9372
1,2022-12-07,37.0061,62.9103
1,2022-12-06,36.5794,62.1849
1,2022-12-03,36.3382,61.7749
1,2022-12-02,35.9694,61.1479
1,2022-12-01,35.8119,60.8803
1,2022-11-30,35.9260,61.0742
1,2022-11-29,35.7365,60.7520
1,2022-11-26,35.5763,60.4797
1,2022-11-25,35.5215,60.3866
1,2022-11-24,35.5908,60.5043
1,2022-11-23,35.6804,60.6566
1,2022-11-22,35.7282,60.7379
1,2022-11-19,35.5142,60.3741
1,2022-11-18,35.5232,60.3894
1,2022-11-17,35.4991,60.3484
1,2022-11-16,35.4774,60.3116
1,2022-11-15,35.5284,60.3982
1,2022-11-12,35.4223,60.2179
1,2022-11-11,36.0255,61.2434
1,2022-11-10,35.9183,61.0611
1,2022-11-09,35.8691,60.9774
1,2022-11-08,36.0216,61.2367
1,2022-11-04,36.5268,62.0955
1,2022-11-03,36.2456,61.6175
1,2022-11-02,36.1338,61.4275
1,2022-11-01,36.2488,61.6229
1,2022-10-29,36.1966,61.5343
1,2022-10-28,36.0935,61.3589
1,2022-10-27,36.1339,61.4277
1,2022-10-26,36.0780,61.3326
1,2022-10-25,35.9782,61.1629
1,2022-10-22,35.9975,61.1958
1,2022-10-21,36.1775,61.5018
1,2022-10-20,36.2297,61.5905
1,2022-10-19,36.2960,61.7032
1,2022-10-18,36.3314,61.7634
1,2022-10-15,37.0916,63.0558
1,2022-10-14,37.3481,63.4917
1,2022-10-13,37.5035,63.7559
1,2022-10-12,37.4612,63.6840
1,2022-10-11,36.6545,62.3126
1,2022-10-08,36.0279,61.2475
1,2022-10-07,35.4432,60.2534
1,2022-10-06,34.9437,59.4043
1,2022-10-05,34.5831,58.7913
1,2022-10-04,33.8626,57.5664
1,2022-10-01,32.5286,55.2987
1,2022-09-30,33.7724,57.4130
1,2022-09-29,34.3815,58.4485
1,2022-09-28,34.2209,58.1756
1,2022-09-27,34.1171,57.9990
1,2022-09-24,34.1768,58.1006
1,2022-09-23,35.1952,59.8318
1,2022-09-22,35.8050,60.8685
1,2022-09-21,35.3034,60.0158
1,2022-09-20,35.3919,60.1662
1,2022-09-17,35.3127,60.0316
1,2022-09-16,35.0978,59.6663
1,2022-09-15,35.1618,59.7751
1,2022-09-14,35.3339,60.0676
1,2022-09-13,35.5628,60.4568
1,2022-09-10,35.5704,60.4696
1,2022-09-09,35.7653,60.8010
1,2022-09-08,35.9891,61.1814
1,2022-09-07,35.7967,60.8544
1,2022-09-06,35.8255,60.9033
1,2022-09-03,35.5125,60.3713
1,2022-09-02,35.4335,60.2370
1,2022-09-01,35.4345,60.2386
1,2022-08-31,35.5104,60.3677
1,2022-08-30,35.5080,60.3636
1,2022-08-27,35.3485,60.0924
1,2022-08-26,35.1588,59.7699
1,2022-08-25,35.2926,59.9974
1,2022-08-24,35.2331,59.8963
1,2022-08-23,35.1423,59.7419
1,2022-08-20,34.7836,59.1321
1,2022-08-19,35.2688,59.9570
1,2022-08-18,35.7384,60.7552
1,2022-08-17,36.1322,61.4247
1,2022-08-16,36.1028,61.3747
1,2022-08-13,35.8231,60.8993
1,2022-08-12,35.7531,60.6229
1,2022-08-11,35.6536,60.4542
1,2022-08-10,35.6106,60.3814
1,2022-08-09,35.5723,60.3164
1,2022-08-06,35.5115,60.3696
1,2022-08-05,35.4459,60.2580
1,2022-08-04,35.4338,60.2374
1,2022-08-03,35.3879,60.1595
1,2022-08-02,36.5004,62.0506
1,2022-07-30,36.0648,61.3101
1,2022-07-29,35.4136,60.2031
1,2022-07-28,35.4234,60.2198
1,2022-07-27,34.5062,58.6605
1,2022-07-26,33.9895,57.7821
1,2022-07-23,33.7598,57.3917
1,2022-07-22,33.2225,56.4783
1,2022-07-21,32.2642,54.8491
1,2022-07-20,32.6100,55.4370
1,2022-07-19,33.2715,56.5616
1,2022-07-16,34.0190,57.8323
1,2022-07-15,34.2687,58.2568
1,2022-07-14,34.4307,58.5322
1,2022-07-13,34.6201,58.8541
1,2022-07-12,36.0615,61.3045
1,2022-07-09,36.0391,61.2664
1,2022-07-08,37.1428,63.1427
1,2022-07-07,37.0065,62.9110
1,2022-07-06,34.4187,58.5118
1,2022-07-05,32.4034,55.0858
1,2022-07-02,31.6280,53.7676
1,2022-07-01,30.8896,52.5123
1,2022-06-30,30.0929,51.1580
1,2022-06-29,31.1588,52.9699
1,2022-06-28,31.3906,53.3641
1,2022-06-25,31.3667,53.3234
1,2022-06-24,31.3869,53.3578
1,2022-06-23,31.3405,53.2788
1,2022-06-22,32.1812,54.7081
1,2022-06-21,33.0428,56.1727
1,2022-06-18,33.3589,56.7101
1,2022-06-17,33.4524,56.8691
1,2022-06-16,33.3308,56.6624
1,2022-06-15,33.5839,57.0926
1,2022-06-11,33.9871,57.7780
1,2022-06-10,34.3468,58.3895
1,2022-06-09,35.4284,60.2282
1,2022-06-08,35.8568,60.9565
1,2022-06-07,35.9467,61.1094
1,2022-06-04,36.4505,61.9659
1,2022-06-03,36.2206,61.5750
1,2022-06-02,36.1608,61.4733
1,2022-06-01,36.2394,61.6069
1,2022-05-31,37.1162,63.0975
1,2022-05-28,39.0605,66.4029
1,2022-05-27,36.4997,62.0495
1,2022-05-26,33.1174,56.2996
1,2022-05-25,33.5112,56.9690
1,2022-05-24,34.2404,58.2087
1,2022-05-21,34.6389,58.8862
1,2022-05-20,36.7077,62.4031
1,2022-05-19,37.3908,63.5643
1,2022-05-18,37.3781,63.5428
1,2022-05-17,37.3203,63.4445
1,2022-05-14,37.5176,63.7799
1,2022-05-13,38.7009,65.7916
1,2022-05-12,40.4935,68.8389
1,2022-05-07,39.6378,67.3843
1,2022-05-06,38.9634,66.2378
1,2022-05-05,40.8329,69.4160
1,2022-04-30,41.7786,71.0237
1,2022-04-29,42.5266,72.2953
1,2022-04-28,42.8685,72.8764
1,2022-04-27,42.7699,72.7089
1,2022-04-26,43.1536,73.3611
1,2022-04-23,43.2382,73.5050
1,2022-04-22,44.1171,74.9990
1,2022-04-21,45.3417,77.0809
1,2022-04-20,46.4875,79.0287
1,2022-04-19,46.7370,79.4529
1,2022-04-16,47.0845,80.0437
1,2022-04-15,47.8165,81.2880
1,2022-04-14,46.9689,79.8471
1,2022-04-13,46.8396,79.6274
1,2022-04-12,46.5645,79.1596
1,2022-04-09,44.0295,74.8501
1,2022-04-08,44.8557,76.2547
1,2022-04-07,48.5860,82.5962
1,2022-04-06,49.0306,83.3520
1,2022-04-05,49.1725,83.5932
1,2022-04-02,49.2029,83.4285
1,2022-04-01,49.1455,83.4097
1,2022-03-31,49.5609,84.0851
1,2022-03-30,50.8872,86.2843
1,2022-03-29,55.2680,93.7125
1,2022-03-26,56.4110,95.6618
1,2022-03-25,56.6375,96.0458
1,2022-03-24,60.8337,103.1618
1,2022-03-23,61.3717,104.0741
1,2022-03-22,61.8212,104.6819
1,2022-03-19,61.3071,103.9524
1,2022-03-18,61.8077,104.8012
1,2022-03-17,63.7701,108.0521
1,2022-03-16,65.7092,111.4823
1,2022-03-15,67.9384,115.1963
1,2022-03-12,68.8557,116.7517
1,2022-03-11,70.9946,120.3785
1,2022-03-10,68.2851,116.0847
1,2022-03-06,62.2792,105.8124
1,2022-03-05,62.2792,105.8124
1,2022-03-04,65.7778,111.7564
1,2022-03-03,60.7703,103.2487
1,2022-03-02,53.9998,91.7457
1,2022-03-01,55.0670,93.5589
1,2022-02-26,49.1751,83.5485
1,2022-02-25,51.1647,86.9288
1,2022-02-23,47.3334,80.4194
1,2022-02-22,45.1837,76.7671
1,2022-02-19,44.2897,75.7619
1,2022-02-18,44.5866,75.7527
1,2022-02-17,44.1519,75.0141
1,2022-02-16,44.8299,76.1660
1,2022-02-15,45.0713,76.5762
1,2022-02-12,44.1358,74.9867
1,2022-02-11,43.9812,74.7241
1,2022-02-10,44.0268,74.8015
1,2022-02-09,44.3227,75.3042
1,2022-02-08,44.2421,75.6806
1,2022-02-05,44.7622,76.0509
1,2022-02-04,45.1148,76.6501
